Date,Open,High,Low,Close,Adj Close,Volume
2023-08-23,138.479996,140.550003,138.479996,140.139999,138.403183,680700
2023-08-24,138.820007,138.860001,135.460007,135.580002,133.899689,837000
2023-08-25,136.910004,137.979996,135.389999,137.460007,135.756393,793300
2023-08-28,137.940002,138.720001,137.559998,138.339996,136.625488,556700
2023-08-29,137.550003,140.139999,137.550003,140.050003,138.314301,403100
2023-08-30,140.179993,141.179993,140.179993,140.639999,138.896988,374300
2023-08-31,140.690002,141.339996,139.479996,139.690002,137.958755,557200
2023-09-01,140.520004,140.619995,137.860001,138.190002,136.477341,533700
2023-09-05,137.809998,138.130005,137.130005,137.669998,135.963791,443300
2023-09-06,138.289993,138.800003,137.649994,138.740005,137.020538,550000
2023-09-07,139.339996,140.100006,138.809998,139.949997,138.215530,623900
2023-09-08,140.289993,141.380005,140.289993,140.460007,138.719223,574100
2023-09-11,139.119995,139.229996,138.029999,139.169998,137.445206,678600
2023-09-12,135.149994,136.300003,135.020004,135.250000,133.573776,975500
2023-09-13,135.600006,136.259995,134.929993,135.750000,134.067581,590400
2023-09-14,135.630005,136.270004,135.020004,135.990005,134.304611,785300
2023-09-15,135.750000,136.250000,135.009995,135.240005,133.563919,770400
2023-09-18,134.419998,135.690002,134.419998,135.240005,133.563919,536200
2023-09-19,134.520004,135.119995,133.940002,134.699997,133.030594,652400
2023-09-20,134.389999,135.050003,133.529999,133.529999,131.875092,632100
2023-09-21,132.940002,133.460007,131.059998,131.160004,129.534470,1481800
2023-09-22,132.259995,133.490005,131.990005,132.649994,131.005997,746600
2023-09-25,131.699997,132.139999,131.220001,131.949997,130.314682,576000
2023-09-26,128.860001,129.839996,126.930000,127.180000,125.603798,1159900
2023-09-27,128.270004,128.509995,126.870003,127.680000,126.097603,739800
2023-09-28,127.199997,128.839996,126.750000,127.949997,126.364250,1486200
2023-09-29,131.119995,131.229996,128.889999,129.320007,127.717285,855300
2023-10-02,129.240005,129.589996,127.839996,128.559998,126.966690,651500
2023-10-03,128.380005,128.830002,127.339996,127.940002,126.354378,654800
2023-10-04,128.750000,129.440002,127.489998,128.929993,127.332100,529100
2023-10-05,128.830002,129.589996,128.100006,129.559998,127.954300,816900
2023-10-06,128.729996,131.470001,128.149994,130.919998,129.297440,1055100
2023-10-09,129.000000,129.940002,128.410004,129.910004,128.299973,1507600
2023-10-10,131.029999,131.770004,130.570007,131.199997,129.573975,1052600
2023-10-11,131.699997,132.570007,131.470001,132.389999,130.749222,995200
2023-10-12,132.539993,133.179993,131.270004,131.660004,130.028275,1034000
2023-10-13,130.699997,130.800003,127.800003,128.789993,127.193840,1352400
2023-10-16,129.300003,130.869995,128.979996,130.699997,129.080170,1988400
2023-10-17,128.800003,131.029999,128.429993,130.490005,128.872787,1112800
2023-10-18,128.229996,129.119995,127.300003,127.610001,126.028473,1782900
2023-10-19,134.419998,135.800003,133.139999,133.380005,131.726959,2078600
2023-10-20,132.669998,132.990005,130.649994,130.699997,129.080170,1356000
2023-10-23,131.149994,132.830002,130.080002,132.199997,130.561584,732600
2023-10-24,132.970001,133.820007,132.589996,133.669998,132.013367,675700
2023-10-25,132.490005,132.889999,130.679993,130.710007,129.090057,840700
2023-10-26,131.949997,132.429993,130.630005,131.220001,129.593735,1082900
2023-10-27,132.570007,132.960007,131.029999,131.389999,129.761627,690400
2023-10-30,132.770004,134.089996,132.330002,133.649994,131.993607,878400
2023-10-31,133.839996,134.419998,133.460007,134.000000,132.339279,758500
2023-11-01,134.240005,136.089996,134.179993,136.080002,134.393494,618100
2023-11-02,138.869995,139.179993,137.979996,138.580002,136.862518,712000
2023-11-03,138.740005,139.440002,138.139999,138.979996,137.257553,764900
2023-11-06,138.440002,138.789993,137.770004,138.550003,136.832886,488800
2023-11-07,140.089996,141.470001,139.759995,140.660004,138.916733,461700
2023-11-08,141.710007,142.639999,141.710007,142.169998,140.408020,662700
2023-11-09,143.050003,144.320007,142.389999,142.449997,140.684540,711500
2023-11-10,143.309998,145.149994,143.009995,145.100006,143.301712,609300
2023-11-13,143.899994,145.100006,143.720001,145.029999,143.232574,400200
2023-11-14,148.089996,148.250000,146.990005,147.660004,145.829987,693700
2023-11-15,148.160004,149.139999,147.600006,148.520004,146.679321,902600
2023-11-16,148.679993,149.660004,148.100006,148.589996,146.748444,835400
2023-11-17,149.300003,150.089996,148.940002,149.949997,148.091599,439900
2023-11-20,152.539993,153.479996,152.479996,153.300003,151.400085,750700
2023-11-21,153.100006,153.559998,152.229996,152.500000,150.610001,697800
2023-11-22,154.309998,154.479996,153.009995,153.160004,151.261826,1184100
2023-11-24,154.270004,154.529999,153.899994,154.190002,152.279053,276100
2023-11-27,154.559998,155.309998,154.440002,154.940002,153.019760,719900
2023-11-28,155.500000,156.720001,155.369995,156.300003,154.362900,583900
2023-11-29,158.279999,159.080002,158.050003,158.630005,156.664032,584500
2023-11-30,159.149994,159.369995,157.970001,159.119995,157.147949,920400
2023-12-01,158.389999,160.350006,158.149994,160.089996,158.105927,810900
2023-12-04,158.770004,159.500000,157.899994,159.270004,157.296097,670300
2023-12-05,158.460007,159.440002,158.259995,159.360001,157.384979,566900
2023-12-06,159.830002,159.940002,158.059998,158.100006,156.140594,588900
2023-12-07,158.580002,159.470001,158.289993,159.339996,157.365219,635000
2023-12-08,158.350006,160.229996,158.240005,160.160004,158.175064,685400
2023-12-11,156.509995,159.179993,156.509995,159.130005,157.157837,1078700
2023-12-12,157.789993,159.179993,157.789993,158.259995,156.298599,736400
2023-12-13,158.479996,159.839996,157.440002,159.770004,157.789902,859800
